FileName,Sample,Site,24Hr Nectar Production,Total,LogTotal,Biomass,VWC
L_10D_July30_07312019.qgd,10,L,,806468,13.6004195,0.00879,3.5
L_13D_July30_07312019.qgd,13,L,1.71875,6265084,15.65050255,0.02273,3.7
L_14D_July30_07312019.qgd,14,L,2.42188,2769052,14.83401558,0.02247,2.2
L_15D_July30_07312019.qgd,15,L,3.64583,4825583,15.38944211,0.00475,2.3
L_16D_July30_07312019.qgd,16,L,3.20313,4439209,15.30598677,0.00882,2.8
L_17D_July30_07312019.qgd,17,L,0.07813,2216360,14.61137677,0.00441,2.4
L_18D_July30_07312019.qgd,18,L,3.67188,3212816,14.98265837,0.00717,3.8
L_19D_July30_07312019.qgd,19,L,2.03125,1721617,14.35877452,0.00879,3.5
L_2057D_July30_07312019.qgd,29,L,,795263,13.58642816,0.00438,2.7
L_2060D_July30_852019_06.qgd,30,L,1.5625,7383744,15.81479139,0.01001,4.6
L_2064D_July30_07312019.qgd,32,L,4.6875,3630105,15.10477213,0.00939,2.9
L_2097D_July30_07312019.qgd,33,L,,4215177,15.25420214,0.00603,2.3
L_21D_July30_07312019.qgd,21,L,2.96875,12149622,16.31280862,0.00937,4
L_2251D_July30_852019_03.qgd,34,L,2.55208,940091,13.75373196,0.01502,2.3
L_2252D_July30_852019_02.qgd,35,L,1.51042,4301350,15.27443948,0.00909,3.9
L_2254D_July30_07312019.qgd,36,L,4.07552,10791371,16.19425739,0.00547,2.5
L_2259D_July30_07312019.qgd,37,L,3.90625,2420635,14.69954046,0.01705,3.1
L_2260D_July30_07312019.qgd,38,L,1.875,3706752,15.12566658,0.01374,3.2
L_2261D_July30_07312019.qgd,39,L,2.89063,4531699,15.32660748,0.01134,3.9
L_2262D_July30_07312019.qgd,40,L,2.57813,8343831,15.93703302,0.01072,3.4
L_2263D_July30_07312019.qgd,41,L,1.79688,459230,13.03730645,0.00888,2.5
L_2264D_July30_07312019.qgd,42,L,4.16667,1814929,14.41155691,0.00902,5.4
L_2266D_July30_07312019.qgd,46,L,,8195876,15.91914166,0.00756,2.9
L_2273D_July30_852019_04.qgd,45,L,5.07813,1858462,14.43525982,0.00603,2.3
L_22D_July30_07312019.qgd,22,L,2.03125,4399182,15.29692917,0.0144,4.3
L_23D_July30_07312019.qgd,23,L,2.1875,1067704,13.88102111,0.00824,2.2
L_24_DJuly30_07312019.qgd,24,L,2.34375,11238136,16.23482355,0.02592,4
L_25D_July30_07312019.qgd,25,L,2.5,9530927,16.07005254,0.03489,3.7
L_27D_July30_07312019.qgd,27,L,3.5026,2957152,14.8997372,0.00457,2.5
L_28D_July30_07312019.qgd,28,L,1.875,3853293,15.16443867,0.01506,2.5
L_3D_July30_07312019.qgd,3,L,1.43229,11105822,16.22298003,0.01043,5.5
L_4D_July30_07312019.qgd,4,L,1.27604,15927829,16.58357839,0.00447,4.5
L_5D_July30_07312019.qgd,5,L,0.23438,4023133,15.20757151,0.00642,1.9
L_6D_July30_07312019.qgd,6,L,1.38889,5261580,15.47594192,0.00756,2.9
L_8D_July30_07312019.qgd,8,L,2.26563,3688676,15.12077814,0.00541,4.4
L_9D_July30_07312019.qgd,9,L,4.45313,2751794,14.82776362,0.00738,4.2
VF_12AD_LS_July23_07292019.qgd,12D,VF,2.30469,973102,13.78824419,0.00743,1.4
VF_13D_KW_July23_07292019.qgd,13D,VF,0.91146,542126,13.20325373,0.01154,1.5
VF_14D_LS_July23_07292019.qgd,14D,VF,1.50391,13261959,16.40041027,0.00486,0
VF_15D_KW_July23_07292019.qgd,15D,VF,2.39583,26460894,17.0911785,0.0211,4.3
VF_16D_KW_July23_07292019.qgd,16D,VF,2.34375,3961727,15.1921906,0.00716,1.9
VF_19D_KW_July23_07292019.qgd,19D,VF,3.59375,9637441,16.08116617,0.01036,0.9
VF_20D_KW_July23_07292019.qgd,20D,VF,2.91016,4940883,15.41305462,0.0119,0.1
VF_21D_LS_July23_07292019.qgd,21D,VF,2.26563,53306550,17.79156977,0.00591,1.2
VF_2D_LS_July23_07292019.qgd,2D,VF,2.26563,1701285,14.34689441,0.013,3.1
VF_3D_JN_July23_07292019.qgd,3D,VF,0.54688,5456115,15.51224756,0.00779,1.7
VF_4D_JN_July23_07292019.qgd,4D,VF,2.38281,6218995,15.64311888,0.00805,3
VF_5D_LS_July23_07292019.qgd,5D,VF,2.26563,1864757,14.43864131,0.00647,1.1
VF_6D_LS_July23_07292019.qgd,6D,VF,3.78906,8410135,15.94494808,0.00674,3.4
VF_7D_JN_July23_07292019.qgd,7D,VF,2.38281,21301754,16.87429997,0.00879,1
VF_8D_JN_July23_07292019.qgd,8D,VF,0.8724,9423686,16.05873687,0.00764,0.4
VF_9D_JN_July23_07292019.qgd,9D,VF,2.34375,2305941,14.65099939,0.00715,0
