pollinator_group,pollinator_family,pollinator,n
bee,andrenidae,andrena_costillensis,12
bee,andrenidae,andrena_cyanophila,37
bee,andrenidae,andrena_sp_02,11
bee,andrenidae,andrena_transnigra,8
bee,andrenidae,andrena_vicinoides,24
bee,andrenidae,panurginus_ineptus,182
bee,anthophoridae,anthophora_terminalis,11
bee,anthophoridae,melissodes_confusa,1
bee,apidae,bombus_appositus,248
bee,apidae,bombus_balteatus,1
bee,apidae,bombus_bifarius,901
bee,apidae,bombus_californicus,75
bee,apidae,bombus_flavifrons,443
bee,apidae,bombus_frigidus,7
bee,apidae,bombus_mixtus,15
bee,apidae,bombus_nevadensis,10
bee,apidae,bombus_occidentalis,15
bee,apidae,bombus_sylvicola,144
bee,apidae,psithyrus_insularis,48
bee,colletidae,colletes_kincaidii,36
bee,colletidae,colletes_nigrifrons,10
bee,halictidae,halictidae_green_spp_1,1
bee,halictidae,halictidae_spp_01,11
bee,halictidae,halictus_confusus,32
bee,halictidae,halictus_rubicundus,82
bee,halictidae,halictus_virgatellus,36
bee,halictidae,lasioglossum_spp,503
bee,halictidae,sphecodes_sp_01,21
bee,megachilidae,anthidium_emarginatum,1
bee,megachilidae,coelioxus_funeraria,6
bee,megachilidae,hoplitus_fulgida,18
bee,megachilidae,hoplitus_robusta,5
bee,megachilidae,megachile_frigida,14
bee,megachilidae,megachile_melanophea,17
bee,megachilidae,megachile_pugnata,23
bee,megachilidae,megachile_relativa,65
bee,megachilidae,osmia_bucephala,33
bee,megachilidae,osmia_coloradensis,44
bee,megachilidae,osmia_grindeliae,17
bee,megachilidae,osmia_iridis,59
bee,megachilidae,osmia_lignaria,2
bee,megachilidae,osmia_montana,94
bee,megachilidae,osmia_proxima,2
bee,megachilidae,osmia_sp_sgo,6
bee,megachilidae,osmia_subaustralis,51
bee,megachilidae,osmia_tristela,4
butterfly,hesperiidae,ochlodes_sylvanoides,77
butterfly,lycaenidae,callophrys_affinis,2
butterfly,lycaenidae,coenonympha_ochracea,4
butterfly,lycaenidae,glaucopsyche_lygdamus,102
butterfly,lycaenidae,lycaena_cupreus,20
butterfly,lycaenidae,lycaena_rubidus_sirius,13
butterfly,lycaenidae,lycaenidae_spp,28
butterfly,nymphalidae,euphydras_anicia,15
butterfly,nymphalidae,nymphalidae_spp,26
butterfly,nymphalidae,polygonia_zephyrus,1
butterfly,nymphalidae,speyeria_mormonia,44
butterfly,papilionidae,papilio_gothica,7
butterfly,pieridae,colias_alexandra,6
butterfly,pieridae,pieridae_spp,2
butterfly,pieridae,pieris_mcdunnoughi,2
butterfly,pieridae,pieris_rapa,14
fly,asilidae,cryptopogon_sp_01,2
fly,bombyliidae,systoechus_sp,81
fly,bombyliidae,villa_eumenes,44
fly,calliphoridae,phormia_spp_1,1
fly,empididae,rhamphomyia_sp_01,9
fly,muscidae,mesebrina_latreillei,7
fly,muscidae,muscidae_sp_02,3
fly,muscidae,muscidae_spp_01,100
fly,muscidae,thricops_septentrionalis,595
fly,scathophagidae,scathophagidae_sp_01,8
fly,syrphidae,arctophila_flagrans,36
fly,syrphidae,cartosyrphus_sp_02,3
fly,syrphidae,cartosyrphus_tarda,72
fly,syrphidae,chrysotoxum_ventricosum,59
fly,syrphidae,eristalis_latifrons,26
fly,syrphidae,eupeodes_lapponicus,26
fly,syrphidae,eupeodes_volucris,50
fly,syrphidae,melanostoma_kelloggi,2
fly,syrphidae,melanstoma_caerulescens,3
fly,syrphidae,sphaerophoria_robusta,150
fly,syrphidae,syrphidae_02,15
fly,syrphidae,syrphidae_spp,42
fly,syrphidae,syrphidae_spp_1,1
fly,syrphidae,syrphidae_spp_2,1
fly,syrphidae,syrphidae_spp_3,1
fly,syrphidae,syrphidae_spp_4,1
fly,tachinidae,tachinidae_sp_01,19
fly,tephritidae,tephritidae_01,4
hummingbird,trochilidae,selasphorus_platycercus,35
wasp,chrysididae,chrysis_coerulans,3
wasp,sphecidae,sphex_spp_1,2
