"tag","transect_plot","plant"
5028,"10a","delphinium"
4976,"10b","delphinium"
4978,"10c","delphinium"
4983,"10d","delphinium"
4986,"10e","delphinium"
4987,"10f","delphinium"
4711,"1a","delphinium"
4712,"1b","delphinium"
5005,"1c","delphinium"
5008,"1d","delphinium"
4721,"1e","delphinium"
4725,"1f","delphinium"
4727,"2a","delphinium"
5016,"2b","delphinium"
5017,"2c","delphinium"
4738,"2d","delphinium"
5010,"2e","delphinium"
5021,"2f","delphinium"
4747,"3a","delphinium"
4750,"3b","delphinium"
4751,"3c","delphinium"
4755,"3d","delphinium"
4758,"3e","delphinium"
4762,"3f","delphinium"
4765,"4a","delphinium"
4766,"4b","delphinium"
5034,"4c","delphinium"
4774,"4d","delphinium"
4777,"4e","delphinium"
4778,"4f","delphinium"
4782,"5a","delphinium"
4784,"5b","delphinium"
4788,"5c","delphinium"
4790,"5d","delphinium"
4794,"5e","delphinium"
4797,"5f","delphinium"
4901,"6a","delphinium"
4902,"6b","delphinium"
4907,"6c","delphinium"
4909,"6d","delphinium"
4912,"6e","delphinium"
4915,"6f","delphinium"
4917,"7a","delphinium"
4922,"7b","delphinium"
4923,"7c","delphinium"
4928,"7d","delphinium"
5001,"7e","delphinium"
4933,"7f","delphinium"
4935,"8a","delphinium"
4940,"8b","delphinium"
4943,"8c","delphinium"
4946,"8d","delphinium"
4947,"8e","delphinium"
4950,"8f","delphinium"
4953,"9a","delphinium"
4958,"9b","delphinium"
5024,"9c","delphinium"
4963,"9d","delphinium"
4968,"9e","delphinium"
4970,"9f","delphinium"
